Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Age in Yrs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Day of Joining,Age in Company (Years),Salary,Monthly ,County,City,Current Record Flag,Function
461385,Mrs.,Emma,E,Obrien,F,emma.obrien@gmail.com,50.9,12/02/2012,Q4,H2,2012,12,December,2,4.65,101594.4,15239.2,UK,Liverpool,Y,IT
232070,Mrs.,Carly,R,Leach,F,carly.leach@cox.net,46.6,12/20/2013,Q4,H2,2013,12,December,20,3.61,101327.8,15199.2,UK,Liverpool,N,IT
587373,Drs.,Lillian,J,Atkinson,F,lillian.atkinson@aol.com,24.44,12/26/2016,Q4,H2,2016,12,December,26,0.59,101020.6,15153.1,UK,Liverpool,N,IT
790389,Ms.,Claudette,W,Solomon,F,claudette.solomon@yahoo.com,32.62,7/24/2014,Q3,H2,2014,7,July,24,3.01,100890.6,15133.6,UK,Warrington,Y,IT
988937,Dr.,Boyd,L,Valencia,M,boyd.valencia@gmail.com,30.16,11/16/2016,Q4,H2,2016,11,November,16,0.7,100397.2,15059.6,UK,Liverpool,Y,IT
264960,Dr.,Brent,J,Bryant,M,brent.bryant@aol.com,57.26,12/30/1985,Q4,H2,1985,12,December,30,31.6,100260,15039,UK,Warrington,Y,IT
798671,Mr.,Adolph,L,Skinner,M,adolph.skinner@gmail.com,52.89,5/26/2008,Q2,H1,2008,5,May,26,9.18,100218.3,15032.8,UK,Liverpool,N,IT
266284,Hon.,Dominic,U,Henson,M,dominic.henson@aol.com,38.33,02/06/2003,Q1,H1,2003,2,February,6,14.48,100034.4,15005.2,UK,Warrington,Y,IT
641096,Mrs.,Kerry,C,Pitts,F,kerry.pitts@aol.com,28.25,04/04/2017,Q2,H1,2017,4,April,4,0.32,99603.3,14940.5,UK,Liverpool,Y,IT
308617,Mrs.,Aileen,D,Blanchard,F,aileen.blanchard@gmail.com,30.67,7/18/2009,Q3,H2,2009,7,July,18,8.03,99591.1,14938.7,UK,Warrington,Y,IT
392678,Mr.,Marcelino,Y,Kinney,M,marcelino.kinney@gmail.com,21.52,2/28/2017,Q1,H1,2017,2,February,28,0.41,99305.6,14895.8,UK,Warrington,Y,IT
338556,Mr.,Domingo,S,Gibbs,M,domingo.gibbs@hotmail.com,28.74,10/27/2013,Q4,H2,2013,10,October,27,3.75,99183.3,14877.5,UK,Liverpool,N,IT
596917,Mr.,Ahmad,B,Poole,M,ahmad.poole@gmail.com,44.17,06/01/2016,Q2,H1,2016,6,June,1,1.16,99080.6,14862.1,UK,Liverpool,Y,IT
437970,Hon.,Reggie,R,Nolan,M,reggie.nolan@gmail.com,27.88,08/05/2013,Q3,H2,2013,8,August,5,3.98,98941.1,14841.2,UK,Liverpool,N,IT
212917,Prof.,Raymundo,W,Kramer,M,raymundo.kramer@aol.com,42.28,07/01/2002,Q3,H2,2002,7,July,1,15.08,98929.4,14839.4,UK,Warrington,Y,IT
363951,Drs.,Frances,D,Stafford,F,frances.stafford@ntlworld.com,51.92,7/25/1987,Q3,H2,1987,7,July,25,30.03,98511.1,14776.7,UK,Liverpool,Y,IT
925484,Mr.,Elton,L,Ferguson,M,elton.ferguson@ibm.com,34.68,05/09/2006,Q2,H1,2006,5,May,9,11.23,98194.4,14729.2,UK,Warrington,Y,IT
362287,Mr.,Cornelius,V,Townsend,M,cornelius.townsend@charter.net,47.19,4/26/2009,Q2,H1,2009,4,April,26,8.26,97869.4,14680.4,UK,Warrington,Y,IT
929791,Ms.,Esperanza,E,Paul,F,esperanza.paul@aol.com,56.67,3/14/1990,Q1,H1,1990,3,March,14,27.39,97830.6,14674.6,UK,Warrington,Y,IT
262843,Mr.,Tyrone,N,Soto,M,tyrone.soto@yahoo.com,44.34,10/26/2002,Q4,H2,2002,10,October,26,14.76,97775,14666.3,UK,Warrington,Y,IT
122005,Hon.,Candy,K,Singleton,F,candy.singleton@hotmail.com,36.1,04/11/2017,Q2,H1,2017,4,April,11,0.3,97650.6,14647.6,UK,Warrington,Y,IT
947334,Mr.,Frankie,Y,Clark,M,frankie.clark@apple.com,56.73,11/20/2010,Q4,H2,2010,11,November,20,6.69,97457.8,14618.7,UK,Liverpool,N,IT
282678,Hon.,Marci,O,Alvarado,F,marci.alvarado@gmail.com,51.19,09/02/2007,Q3,H2,2007,9,September,2,9.91,97040.6,14556.1,UK,Liverpool,N,IT
463579,Mr.,Bernardo,W,Langley,M,bernardo.langley@hotmail.com,44.8,8/30/2007,Q3,H2,2007,8,August,30,9.92,96681.7,14502.3,UK,Liverpool,N,IT
901185,Mr.,Jonathon,M,Pearson,M,jonathon.pearson@yahoo.com,49.86,8/17/2015,Q3,H2,2015,8,August,17,1.95,96317.8,14447.7,UK,Warrington,Y,IT
177821,Mr.,Derick,N,Ferrell,M,derick.ferrell@yahoo.co.in,42.5,04/05/2008,Q2,H1,2008,4,April,5,9.32,96317.8,14447.7,UK,Liverpool,N,IT
520092,Mr.,Lamont,L,Woods,M,lamont.woods@hotmail.com,25.81,11/27/2014,Q4,H2,2014,11,November,27,2.67,96126.1,14418.9,UK,Warrington,Y,IT
166615,Mrs.,Jayne,O,Coleman,F,jayne.coleman@yahoo.ca,36.97,11/27/2010,Q4,H2,2010,11,November,27,6.67,95367.8,14305.2,UK,Warrington,Y,IT
339483,Mr.,Scott,Q,Carrillo,M,scott.carrillo@sbcglobal.net,47.56,08/06/1991,Q3,H2,1991,8,August,6,25.99,95168.9,14275.3,UK,Liverpool,N,IT
690117,Mr.,Sylvester,Q,Salas,M,sylvester.salas@outlook.com,29.86,2/18/2016,Q1,H1,2016,2,February,18,1.44,94761.1,14214.2,UK,Liverpool,N,IT
403674,Dr.,Billy,R,Mcdowell,M,billy.mcdowell@gmail.com,33.83,04/06/2014,Q2,H1,2014,4,April,6,3.31,94727.8,14209.2,UK,Liverpool,Y,IT
901775,Ms.,Opal,X,Hansen,F,opal.hansen@hotmail.com,39.76,05/04/2017,Q2,H1,2017,5,May,4,0.23,94239.4,14135.9,UK,Liverpool,N,IT
297059,Mr.,Rufus,S,Guerra,M,rufus.guerra@rediffmail.com,49.62,05/01/2004,Q2,H1,2004,5,May,1,13.25,94233.3,14135,UK,Warrington,Y,IT
149844,Mrs.,Berta,P,Irwin,F,berta.irwin@gmail.com,34.56,06/02/2012,Q2,H1,2012,6,June,2,5.16,93986.7,14098,UK,Liverpool,N,IT
684446,Mr.,Bryon,J,Gardner,M,bryon.gardner@aol.com,32.45,03/04/2008,Q1,H1,2008,3,March,4,9.41,93906.7,14086,UK,Liverpool,N,IT
144715,Mr.,Earnest,X,Kirk,M,earnest.kirk@gmail.com,52.44,9/21/2005,Q3,H2,2005,9,September,21,11.86,93736.7,14060.5,UK,Warrington,Y,IT
583282,Mrs.,Carolina,Y,Coleman,F,carolina.coleman@aol.com,22.76,07/01/2016,Q3,H2,2016,7,July,1,1.07,92682.2,13902.3,UK,Warrington,Y,IT
245059,Mr.,Abdul,K,Barnett,M,abdul.barnett@hotmail.com,32.36,9/26/2011,Q3,H2,2011,9,September,26,5.84,92098.3,13814.8,UK,Liverpool,N,IT
125823,Mr.,Chadwick,G,Walton,M,chadwick.walton@earthlink.net,51.48,9/14/2008,Q3,H2,2008,9,September,14,8.87,91934.4,13790.2,UK,Liverpool,N,IT
737292,Mr.,Luciano,H,Ray,M,luciano.ray@btinternet.com,25.79,2/22/2014,Q1,H1,2014,2,February,22,3.43,91386.7,13708,UK,Liverpool,Y,IT
886315,Dr.,Valentin,S,Montoya,M,valentin.montoya@aol.com,51.76,01/05/1997,Q1,H1,1997,1,January,5,20.57,91339.4,13700.9,UK,Liverpool,Y,IT
192175,Dr.,Bret,J,Blevins,M,bret.blevins@gmail.com,37.85,07/11/2015,Q3,H2,2015,7,July,11,2.05,90925,13638.8,UK,Warrington,Y,IT
385932,Ms.,Noreen,M,Vincent,F,noreen.vincent@yahoo.com,22.88,8/20/2016,Q3,H2,2016,8,August,20,0.94,90680,13602,UK,Liverpool,N,IT
993675,Hon.,Damien,Z,Rose,M,damien.rose@gmail.com,52.07,12/17/2005,Q4,H2,2005,12,December,17,11.62,89928.3,13489.3,UK,Warrington,Y,IT
171553,Mr.,Tanner,I,Matthews,M,tanner.matthews@rediffmail.com,40.87,12/07/2008,Q4,H2,2008,12,December,7,8.64,89503.3,13425.5,UK,Warrington,Y,IT
412317,Drs.,Elisabeth,W,Foster,F,elisabeth.foster@gmail.com,22.68,3/27/2017,Q1,H1,2017,3,March,27,0.34,89469.4,13420.4,UK,Warrington,Y,IT
635915,Ms.,Herminia,I,Morin,F,herminia.morin@yahoo.com,56.46,6/25/1989,Q2,H1,1989,6,June,25,28.11,89316.7,13397.5,UK,Liverpool,N,IT
410300,Mrs.,Dena,Q,Blake,F,dena.blake@hotmail.com,42.2,2/24/2011,Q1,H1,2011,2,February,24,6.43,89286.7,13393,UK,Liverpool,Y,IT
141326,Hon.,Patricia,C,Briggs,F,patricia.briggs@yahoo.com,41.73,05/05/2000,Q2,H1,2000,5,May,5,17.24,89163.3,13374.5,UK,Warrington,Y,IT
676618,Drs.,Tabatha,C,Gonzales,F,tabatha.gonzales@sbcglobal.net,51.17,08/07/2009,Q3,H2,2009,8,August,7,7.98,89122.8,13368.4,UK,Warrington,Y,IT
476635,Ms.,Victoria,H,Howe,F,victoria.howe@gmail.com,49.5,09/01/1995,Q3,H2,1995,9,September,1,21.92,89048.9,13357.3,UK,Liverpool,N,Sales
970502,Drs.,Nora,I,Hansen,F,nora.hansen@yahoo.co.uk,34.73,06/01/2004,Q2,H1,2004,6,June,1,13.16,88457.2,13268.6,UK,Warrington,Y,Sales
206783,Hon.,Brock,X,Roberts,M,brock.roberts@yahoo.co.in,49.45,01/08/1991,Q1,H1,1991,1,January,8,26.57,87823.3,13173.5,UK,Liverpool,Y,Sales
297502,Ms.,Angelina,D,Lynn,F,angelina.lynn@rediffmail.com,42.4,03/08/2007,Q1,H1,2007,3,March,8,10.4,87669.4,13150.4,UK,Liverpool,Y,Sales
651120,Mr.,Damon,G,Solomon,M,damon.solomon@aol.com,53.03,05/10/2008,Q2,H1,2008,5,May,10,9.22,87307.8,13096.2,UK,Warrington,Y,Sales
162573,Hon.,Ola,T,Thompson,F,ola.thompson@yahoo.com,46.95,8/19/2003,Q3,H2,2003,8,August,19,13.95,86779.4,13016.9,UK,Liverpool,Y,Sales
559421,Ms.,Reba,O,Potts,F,reba.potts@microsoft.com,31.34,07/07/2011,Q3,H2,2011,7,July,7,6.06,86306.1,12945.9,UK,Liverpool,N,Sales
842752,Mrs.,Tommie,B,Sanchez,F,tommie.sanchez@gmail.com,43.17,9/25/1997,Q3,H2,1997,9,September,25,19.85,86272.8,12940.9,UK,Liverpool,Y,Sales
946630,Mr.,Duncan,L,Chen,M,duncan.chen@yahoo.co.uk,53.48,11/02/2000,Q4,H2,2000,11,November,2,16.75,86023.9,12903.6,UK,Warrington,Y,Sales
612850,Ms.,Bethany,Z,Cline,F,bethany.cline@yahoo.ca,30.84,4/19/2008,Q2,H1,2008,4,April,19,9.28,86020,12903,UK,Warrington,Y,Sales
175035,Ms.,Ava,L,Romero,F,ava.romero@aol.com,45.21,9/14/2004,Q3,H2,2004,9,September,14,12.88,85907.2,12886.1,UK,Liverpool,Y,Sales
330816,Ms.,Jasmine,J,Freeman,F,jasmine.freeman@gmail.com,55.95,02/01/1983,Q1,H1,1983,2,February,1,34.51,85675.6,12851.3,UK,Warrington,Y,Sales
915507,Mr.,Kory,X,Roth,M,kory.roth@bp.com,43.55,11/24/2010,Q4,H2,2010,11,November,24,6.68,85353.3,12803,UK,Liverpool,N,Sales
924281,Mr.,Reynaldo,P,Sosa,M,reynaldo.sosa@gmail.com,51.82,05/03/1989,Q2,H1,1989,5,May,3,28.25,85351.7,12802.8,UK,Warrington,Y,Sales
360498,Ms.,Jeannine,E,Vaughn,F,jeannine.vaughn@aol.com,39.33,4/29/2014,Q2,H1,2014,4,April,29,3.25,85226.1,12783.9,UK,Liverpool,N,Sales
185077,Ms.,Nichole,S,Oneil,F,nichole.oneil@shaw.ca,59.7,3/24/2008,Q1,H1,2008,3,March,24,9.35,85191.7,12778.8,UK,Warrington,Y,Sales
288820,Mr.,Eric,N,Mccullough,M,eric.mccullough@gmail.com,51.81,3/20/1997,Q1,H1,1997,3,March,20,20.37,84183.3,12627.5,UK,Liverpool,N,Sales
749765,Mr.,Brian,S,Fitzpatrick,M,brian.fitzpatrick@gmail.com,38.68,11/09/2007,Q4,H2,2007,11,November,9,9.72,84137.8,12620.7,UK,Warrington,Y,Sales
204626,Prof.,Sterling,X,Patel,M,sterling.patel@aol.com,51.48,11/11/2001,Q4,H2,2001,11,November,11,15.72,83893.9,12584.1,UK,Liverpool,N,Sales
306185,Mr.,Percy,N,Hunt,M,percy.hunt@btinternet.com,46.65,11/07/2004,Q4,H2,2004,11,November,7,12.73,83855.6,12578.3,UK,Liverpool,Y,Sales
926224,Ms.,Kathleen,T,Middleton,F,kathleen.middleton@yahoo.com,38.42,5/20/2009,Q2,H1,2009,5,May,20,8.19,83383.9,12507.6,UK,Liverpool,N,Sales
369712,Mrs.,Yesenia,B,Guerrero,F,yesenia.guerrero@btinternet.com,49.36,03/03/1994,Q1,H1,1994,3,March,3,23.42,83342.2,12501.3,UK,Warrington,Y,Sales
253588,Ms.,Keri,J,Slater,F,keri.slater@apple.com,57.02,08/09/1994,Q3,H2,1994,8,August,9,22.98,83245.6,12486.8,UK,Warrington,Y,Sales
871610,Mr.,Kenton,I,Moreno,M,kenton.moreno@shell.com,24.54,01/08/2016,Q1,H1,2016,1,January,8,1.55,82591.1,12388.7,UK,Liverpool,Y,Sales
168829,Ms.,Antonia,H,Kinney,F,antonia.kinney@gmail.com,32.48,5/26/2006,Q2,H1,2006,5,May,26,11.18,82568.3,12385.3,UK,Liverpool,Y,Sales
836259,Dr.,Vance,A,Osborne,M,vance.osborne@shaw.ca,44.75,6/30/2001,Q2,H1,2001,6,June,30,16.09,82370.6,12355.6,UK,Liverpool,N,Sales
586207,Dr.,Michel,T,Finch,M,michel.finch@gmail.com,31.11,3/20/2012,Q1,H1,2012,3,March,20,5.36,81953.3,12293,UK,Liverpool,Y,Sales
501422,Mr.,Micah,Y,Merritt,M,micah.merritt@rediffmail.com,33.78,11/27/2006,Q4,H2,2006,11,November,27,10.67,81308.9,12196.3,UK,Liverpool,N,Sales
888277,Prof.,Wm,C,Carroll,M,wm.carroll@gmail.com,30.22,1/17/2017,Q1,H1,2017,1,January,17,0.53,81301.1,12195.2,UK,Liverpool,N,Sales
809491,Mr.,Terence,U,Giles,M,terence.giles@yahoo.com,40.89,06/12/2010,Q2,H1,2010,6,June,12,7.13,81085.6,12162.8,UK,Liverpool,Y,Sales
793523,Prof.,Donovan,O,Bowman,M,donovan.bowman@hotmail.com,30.42,9/16/2011,Q3,H2,2011,9,September,16,5.87,80905,12135.8,UK,Warrington,N,Sales
909337,Mr.,Rich,M,Bates,M,rich.bates@apple.com,28.43,1/22/2011,Q1,H1,2011,1,January,22,6.52,80656.1,12098.4,UK,Warrington,Y,Sales
811092,Ms.,Tracie,B,Delaney,F,tracie.delaney@hotmail.com,44.19,5/19/2011,Q2,H1,2011,5,May,19,6.2,80499.4,12074.9,UK,Liverpool,N,Sales
745672,Dr.,Emile,A,Love,M,emile.love@gmail.com,36.8,1/23/2011,Q1,H1,2011,1,January,23,6.52,80481.7,12072.3,UK,Warrington,Y,Sales
318571,Prof.,Emory,N,Spence,M,emory.spence@yahoo.com,50.27,10/18/2004,Q4,H2,2004,10,October,18,12.78,80463.3,12069.5,UK,Liverpool,Y,Sales
234429,Ms.,Chrystal,D,Swanson,F,chrystal.swanson@aol.com,33.44,4/27/2007,Q2,H1,2007,4,April,27,10.26,80293.3,12044,UK,Liverpool,N,Sales
269523,Hon.,Kendra,X,Villarreal,F,kendra.villarreal@gmail.com,53.8,3/30/2007,Q1,H1,2007,3,March,30,10.34,80287.2,12043.1,UK,Warrington,Y,Sales
236366,Mr.,Lewis,Q,Ayala,M,lewis.ayala@gmail.com,24.68,6/15/2016,Q2,H1,2016,6,June,15,1.12,80205,12030.8,UK,Liverpool,N,Sales
149904,Ms.,Leanne,R,Mcmahon,F,leanne.mcmahon@shaw.ca,53.58,05/08/1985,Q2,H1,1985,5,May,8,32.24,80060,12009,UK,Liverpool,Y,Sales
928739,Hon.,Micheal,A,Shannon,M,micheal.shannon@earthlink.net,30.66,2/27/2015,Q1,H1,2015,2,February,27,2.42,79924.4,11988.7,UK,Warrington,Y,Sales
555551,Ms.,Nona,W,Buck,F,nona.buck@outlook.com,29.15,11/08/2010,Q4,H2,2010,11,November,8,6.72,79552.2,11932.8,UK,Liverpool,N,Sales
621375,Mrs.,Briana,C,Lancaster,F,briana.lancaster@yahoo.com,41.7,2/25/2003,Q1,H1,2003,2,February,25,14.43,79231.1,11884.7,UK,Warrington,Y,Sales
158689,Ms.,Lucile,L,Fleming,F,lucile.fleming@hotmail.co.uk,50.66,12/09/2006,Q4,H2,2006,12,December,9,10.64,78733.3,11810,UK,Liverpool,Y,Sales
249180,Dr.,Scot,M,Beach,M,scot.beach@sbcglobal.net,37.02,6/29/2010,Q2,H1,2010,6,June,29,7.08,78689.4,11803.4,UK,Liverpool,Y,Sales
552582,Hon.,Jana,L,Weiss,F,jana.weiss@gmail.com,49.6,06/03/2000,Q2,H1,2000,6,June,3,17.16,78550,11782.5,UK,Liverpool,Y,Sales
865905,Mr.,Nelson,O,Wilkins,M,nelson.wilkins@earthlink.net,55.66,2/23/2017,Q1,H1,2017,2,February,23,0.42,78412.8,11761.9,UK,Liverpool,N,Sales
862150,Hon.,Mathew,S,Duran,M,mathew.duran@aol.com,23.91,9/27/2015,Q3,H2,2015,9,September,27,1.84,77871.7,11680.8,UK,Liverpool,N,Sales
547420,Mr.,Doug,V,Small,M,doug.small@hotmail.com,25.65,11/19/2014,Q4,H2,2014,11,November,19,2.69,77594.4,11639.2,UK,Liverpool,Y,Sales
479832,Dr.,Nelson,H,Mcintosh,M,nelson.mcintosh@bp.com,41.98,7/15/2005,Q3,H2,2005,7,July,15,12.04,77590,11638.5,UK,Warrington,Y,Sales
487100,Mr.,Augustus,E,Maldonado,M,augustus.maldonado@yahoo.com,25.19,08/01/2016,Q3,H2,2016,8,August,1,0.99,77489.4,11623.4,UK,Liverpool,Y,Sales
825343,Mrs.,Eileen,A,Hobbs,F,eileen.hobbs@gmail.com,53.25,08/01/1994,Q3,H2,1994,8,August,1,23.01,77486.7,11623,UK,Warrington,Y,Sales
893976,Ms.,Beverly,I,Rosales,F,beverly.rosales@yahoo.com,42.43,4/24/2005,Q2,H1,2005,4,April,24,12.27,77441.1,11616.2,UK,Warrington,Y,Sales
556573,Ms.,Aisha,Z,Gentry,F,aisha.gentry@aol.com,51.78,07/10/1991,Q3,H2,1991,7,July,10,26.07,77286.1,11592.9,UK,Liverpool,N,Sales
229037,Ms.,Gwen,T,Gilliam,F,gwen.gilliam@aol.com,22.55,05/08/2016,Q2,H1,2016,5,May,8,1.22,76830,11524.5,UK,Liverpool,N,Sales
829416,Mr.,Jimmy,C,Molina,M,jimmy.molina@gmail.com,51.26,10/11/2005,Q4,H2,2005,10,October,11,11.8,76678.9,11501.8,UK,Liverpool,Y,Sales
313864,Mrs.,Debbie,S,Velez,F,debbie.velez@aol.com,54.33,9/29/1996,Q3,H2,1996,9,September,29,20.84,76670,11500.5,UK,Liverpool,N,Sales
906797,Mr.,Rico,K,Mayo,M,rico.mayo@gmail.com,26.15,11/17/2016,Q4,H2,2016,11,November,17,0.69,76663.9,11499.6,UK,Liverpool,N,Sales
978745,Mrs.,May,R,Hodge,F,may.hodge@hotmail.com,42.54,1/31/2015,Q1,H1,2015,1,January,31,2.49,76607.8,11491.2,UK,Liverpool,N,Sales
398788,Ms.,Alexandria,Y,Long,F,alexandria.long@hotmail.com,28.47,11/16/2010,Q4,H2,2010,11,November,16,6.7,76009.4,11401.4,UK,Warrington,N,Sales
146825,Hon.,Morton,Q,Franklin,M,morton.franklin@cox.net,56.97,2/14/2008,Q1,H1,2008,2,February,14,9.46,75832.2,11374.8,UK,Liverpool,Y,Sales
399192,Mr.,Nick,C,Wilcox,M,nick.wilcox@bellsouth.net,40.72,09/10/2012,Q3,H2,2012,9,September,10,4.88,75670.6,11350.6,UK,Liverpool,N,Sales
787549,Hon.,Estella,L,Potter,F,estella.potter@gmail.com,22.39,10/11/2016,Q4,H2,2016,10,October,11,0.79,75392.2,11308.8,UK,Warrington,Y,Sales
328562,Mr.,Stacy,V,Jennings,M,stacy.jennings@gmail.com,37.17,6/28/2006,Q2,H1,2006,6,June,28,11.09,74946.7,11242,UK,Warrington,Y,Sales
877422,Hon.,Nicholas,T,Branch,M,nicholas.branch@gmail.com,25.5,6/13/2013,Q2,H1,2013,6,June,13,4.13,74841.7,11226.3,UK,Warrington,Y,Sales
130591,Prof.,Kendrick,V,Miles,M,kendrick.miles@ibm.com,55,1/25/1991,Q1,H1,1991,1,January,25,26.52,74501.7,11175.3,UK,Liverpool,Y,Sales
589440,Prof.,Hilario,B,Vang,M,hilario.vang@gmail.com,39.17,04/12/2011,Q2,H1,2011,4,April,12,6.3,74002.8,11100.4,UK,Liverpool,N,Sales
532002,Ms.,Madge,V,Sargent,F,madge.sargent@aol.com,35.84,4/13/2006,Q2,H1,2006,4,April,13,11.3,73890.6,11083.6,UK,Warrington,Y,Sales
136626,Ms.,Carmela,D,Jefferson,F,carmela.jefferson@walmart.com,42.39,2/27/2003,Q1,H1,2003,2,February,27,14.42,73572.8,11035.9,UK,Warrington,Y,Sales
